"year","time","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","all"
1982,1,-0.074,-0.125,-0.193,-0.843,-0.957,-0.241,-0.278,-1.009,-0.47,-0.881,-0.541
1982,2,-0.646,-0.888,-0.54,-0.725,-1.327,-0.743,0.231,-1.508,-0.849,-0.905,-0.795
1982,3,-0.83,-0.854,-1.177,-0.917,-1.782,-1.231,-0.592,-1.077,-0.714,-0.882,-0.996
1982,4,-0.71,-0.548,-1.176,-0.128,-1.365,-0.893,-0.237,-0.877,-0.583,-0.838,-0.729
1982,5,-0.341,-0.326,-0.856,-0.302,-0.562,-0.819,-0.199,-0.052,-0.505,-0.619,-0.45
1982,6,-0.217,-0.708,-0.22,-0.901,-0.228,-0.184,-0.239,-0.482,-0.171,-0.374,-0.364
1982,7,-0.179,-0.52,-0.087,-0.425,-0.452,-0.497,-0.289,-0.751,-0.564,-0.612,-0.454
1982,8,0.102,-0.115,-0.069,-0.424,-0.386,-0.4,-0.563,-0.152,-0.48,0.043,-0.26
1982,9,-0.232,-0.316,-0.068,-0.093,-0.747,0.079,-0.132,-0.536,-0.036,-0.463,-0.263
1982,10,-0.819,-0.282,-0.582,-1.211,-0.563,-0.581,-0.676,-0.618,-0.619,-0.503,-0.648
1982,11,-0.847,-0.336,-0.687,-0.392,-0.889,-0.573,-0.423,-0.997,-0.362,-1.314,-0.694
1982,12,-0.661,-0.142,-0.398,-0.117,-0.654,-0.386,-0.88,-1.141,-0.481,-1.299,-0.652
1982,13,-0.699,0.069,-0.329,0.175,-0.2,-0.082,-0.179,-0.662,-0.015,-0.214,-0.21
1982,14,-0.17,0.74,-0.204,0.569,-0.131,-0.109,0.288,-0.229,0.802,0.087,0.177
1982,15,-1.252,-0.327,-1.044,0.05,0.004,0.093,0.186,-0.387,-0.389,-0.981,-0.384
1982,16,-0.218,0.737,-0.094,0.433,0.56,0.119,0.972,-0.557,-0.176,-0.688,0.092
1982,17,-0.283,0.345,0.157,0.156,0.083,-0.231,0.453,-0.431,-0.457,-0.085,-0.039
1982,18,-0.36,0.569,0.087,-0.827,-0.649,-1.121,-0.677,-1.766,-1.565,-0.663,-0.765
1982,19,0.021,0.448,0.303,-1.071,-0.738,-2.047,-1.952,-1.267,-1.947,-0.587,-0.969
1982,20,-0.142,0.511,0.465,-1.229,-0.754,-2.134,-2.294,-0.346,-1.4,0.262,-0.756
1982,21,-0.715,-0.697,-0.502,-2.25,-1.096,-1.5,-2.11,-0.399,-0.856,-0.25,-1.04
1982,22,-2.093,-0.636,-1.559,-1.987,-0.654,-1.395,-1.417,-0.272,-1.621,-0.647,-1.197
1982,23,-1.037,-0.373,-0.696,-1.241,-0.346,-0.782,-0.572,-0.547,-0.832,-0.717,-0.709
1982,24,-0.546,0.149,-1.128,-0.295,-1.041,-0.709,0.043,-0.955,-1.316,-0.885,-0.691
1982,25,-0.616,-0.015,-1.16,-1.015,-0.572,-1.555,-1.622,-0.325,-1.689,-0.555,-0.936
1982,26,-0.382,-0.861,-1.128,-1.409,-0.41,-1.417,-0.964,-0.173,-1.564,-0.373,-0.864
1982,27,-1.267,-0.711,-1.58,-1.028,-0.762,-0.964,-0.142,-0.764,-0.84,-0.801,-0.853
1982,28,-1.045,0.233,-1.156,-0.549,-0.645,-0.828,-0.368,-0.369,-0.824,-0.604,-0.608
1982,29,-0.61,0.008,-0.435,-0.511,0.307,-0.65,-0.706,-0.432,-1.064,-1.048,-0.542
1982,30,-0.633,0.42,-0.362,-0.427,0.267,-0.097,-0.797,0.19,-0.353,-0.017,-0.183
1982,31,-0.413,0.296,0.053,0.004,0.1,0.312,-0.219,0.456,-0.177,0.18,0.061
1982,32,0.532,0.903,0.357,0.364,-0.144,0.101,0.097,0.413,0.134,-0.076,0.239
1982,33,0.182,0.252,0.111,0.269,-0.158,-0.355,0.084,0.229,0.138,0.304,0.111
1982,34,-0.621,0.161,-0.267,-0.132,0.002,-0.099,0.184,0.083,0.089,-0.032,-0.042
1982,35,-0.249,-0.575,-0.14,0.197,-0.896,-0.337,0.375,-1.073,-0.16,-0.101,-0.29
1982,36,0.141,0.463,0.04,0.783,-0.596,0.051,0.67,-0.392,0.003,-0.169,0.085
1983,1,0.271,0.501,-0.001,0.66,-0.336,0.126,0.443,-0.149,0.371,-0.13,0.167
1983,2,-0.369,-0.137,-0.541,0.409,-0.642,0.032,0.478,-0.659,0.552,-0.777,-0.154
1983,3,-0.572,0.071,-0.572,0.252,-0.322,-0.012,0.153,-0.334,0.388,0.037,-0.066
1983,4,-0.343,0.242,-0.436,0.283,-0.145,-0.07,0.314,-0.617,0.394,0.481,0.033
1983,5,-0.647,0.286,-0.774,-0.172,-0.154,-0.474,0.242,-0.561,0.58,0.373,-0.091
1983,6,-0.776,0.224,-0.92,-0.471,-0.628,-0.481,0.083,-0.84,0.359,-0.082,-0.33
1983,7,-0.437,0.095,-0.483,-0.611,-0.474,-0.609,0.316,-0.77,0.177,0.231,-0.234
1983,8,-0.216,0.19,-0.214,-0.52,-0.544,-0.614,0.179,-0.736,-0.151,-0.353,-0.309
1983,9,-0.165,0.192,-0.526,-0.593,-0.804,-0.553,-0.181,-0.302,0.481,0.365,-0.189
1983,10,-0.192,0.773,-0.579,0.337,-0.54,-0.523,-0.002,-0.589,0.329,-0.098,-0.117
1983,11,0.47,0.971,0.391,0.218,-0.304,0.266,0.678,0.238,1.041,0.618,0.462
1983,12,-0.132,1.033,-0.511,0.326,-0.854,0.503,0.41,-0.211,1.534,0.949,0.339
1983,13,-0.684,0.687,-0.456,0.291,-0.839,0.438,1.035,0.436,1.564,0.952,0.415
1983,14,-0.877,0.608,-0.463,0.514,0.028,0.787,0.742,0.194,0.751,0.329,0.302
1983,15,-1.729,-0.116,-1.127,-0.082,-0.268,0.102,-0.227,-0.33,0.206,-0.011,-0.305
1983,16,-2.045,-0.735,-1.333,-0.375,-0.052,-0.223,-0.487,-0.514,-0.064,-0.336,-0.555
1983,17,-3.096,-2.738,-2.21,-1.313,-0.876,-0.51,-0.855,-0.838,-0.249,0.233,-1.11
1983,18,-3.145,-2.883,-1.426,-2.002,-1.386,-0.975,-1.925,-1.476,-0.8,-0.196,-1.532
1983,19,-2.079,-3.164,-1.155,-2.038,-0.942,-1.296,-2.639,-0.899,-1.657,0.205,-1.508
1983,20,-2.196,-3.435,-1.056,-2.083,-1.175,-1.387,-1.453,-0.282,-1.05,0.523,-1.251
1983,21,-2.286,-2.103,-1.054,-1.761,-0.51,-0.367,-0.911,0.227,0.213,1.002,-0.63
1983,22,-1.465,-1.505,-0.617,-1.074,-0.025,0.1,-0.726,0.446,0.316,0.991,-0.265
1983,23,-0.723,0.194,-0.515,-0.544,-0.001,-0.78,-1.13,-0.113,-0.663,0.111,-0.415
1983,24,-0.483,-0.878,-1.193,-1.329,-0.299,-0.711,-0.851,0.086,-0.457,0.091,-0.566
1983,25,0.616,-0.553,0.761,-0.21,0.366,0.293,-0.499,0.558,0.501,0.455,0.23
1983,26,0.372,-1.217,0.704,-0.427,0.514,0.195,-0.355,0.437,0.583,0.638,0.172
1983,27,0.205,-1.179,0.177,-1.095,0.912,0.336,-0.344,0.898,1.109,0.836,0.246
1983,28,-1.208,-1.055,-0.447,-0.763,0.19,-0.049,-0.237,0.548,0.601,0.796,-0.076
1983,29,-1.275,-0.56,-0.293,-1.136,-0.011,-0.106,-0.293,0.645,0.541,0.711,-0.103
1983,30,-1.413,-0.984,-0.301,-0.868,-0.616,0.159,-0.443,0.904,1.019,0.801,-0.081
1983,31,-0.544,-0.842,0.224,-0.451,-0.118,0.339,-0.197,0.432,0.44,0.35,0.002
1983,32,-0.943,-0.916,-1.084,-0.527,-1.744,-0.228,-0.373,-0.685,-0.053,-0.466,-0.673
1983,33,-1.951,-0.903,-2.129,-1.159,-1.934,-1.084,-0.438,-0.836,-0.57,-0.957,-1.141
1983,34,-1.311,-0.723,-1.171,-1.118,-1.21,-0.652,-0.639,-1.157,-0.573,-1.292,-0.978
1983,35,-0.879,-1.465,-0.867,-1.895,-0.717,-0.67,-0.74,-0.826,-0.323,-0.818,-0.894
1983,36,-0.642,-1.007,-1.126,-1.49,-1.332,-0.613,-1.039,-0.979,-0.356,-0.612,-0.909
1984,1,-0.159,-0.527,-1.103,-1.21,-0.473,-0.701,-0.972,-0.484,-0.941,-0.874,-0.761
1984,2,-1.631,-0.544,-3.029,-0.888,-2.443,-1.029,-0.293,-1.801,-1.048,-1.137,-1.355
1984,3,-1.079,-0.812,-1.871,-1.542,-2.083,-0.925,-0.441,-1.722,-0.598,-0.598,-1.143
1984,4,-0.546,-0.516,-1.068,-1.48,-2.024,-0.461,-0.127,-1.238,-0.476,-0.629,-0.857
1984,5,-0.806,-0.874,-1.827,-2.169,-1.992,-1.047,-0.673,-1.009,-0.499,-0.462,-1.107
1984,6,-1.207,-1.114,-2.341,-1.948,-2.413,-1.121,-0.916,-1.371,-0.566,-0.484,-1.309
1984,7,-0.872,-0.974,-2.083,-1.225,-2.417,-1.547,-0.612,-2.031,-1.057,-1.251,-1.409
1984,8,-0.985,-1.312,-2.132,-2.027,-2.156,-1.4,-0.858,-1.594,-0.955,-0.461,-1.356
1984,9,-0.856,-1.594,-2.031,-2.134,-1.88,-1.549,-0.978,-0.36,-1.247,0.12,-1.192
1984,10,0.883,-1.456,0.461,-1.58,-1.035,-0.443,-0.604,-0.711,-0.89,0.029,-0.554
1984,11,0.206,-1.259,-1.129,-1.635,-1.34,-0.894,-0.939,-0.867,-1.266,-0.519,-0.976
1984,12,-0.586,-1.523,-1.616,-1.104,-0.68,-1.034,-0.833,-1.531,-1.209,-1.421,-1.156
1984,13,0.162,-0.578,-1.182,-0.764,-1.008,-0.556,-0.585,-0.99,-1.081,-1.06,-0.797
1984,14,-0.226,-1.286,-1.289,-1.196,0.303,-0.514,-0.718,-0.515,-0.314,-0.657,-0.619
1984,15,0.815,0.081,-0.692,-1.203,0.164,-1.096,-0.925,-0.715,-1.227,-0.641,-0.597
1984,16,0.642,1.174,0.319,-0.343,0.225,-0.533,-0.815,0.125,-0.45,-0.256,-0.049
1984,17,0.269,1.018,-0.254,0.389,-0.768,-0.281,-0,0.278,-0.226,0.005,0.021
1984,18,-0.065,1.212,-0.389,-0.491,0.014,-0.104,-0.208,0.4,-0.14,-1.066,-0.117
1984,19,0.107,0.578,-0.074,-0.46,1.091,0.704,-0.05,0.369,0.441,-0.799,0.173
1984,20,-0.272,0.948,-0.106,0.545,0.628,0.351,0.739,0.23,0.22,0.278,0.367
1984,21,0.812,2.776,0.94,1.792,0.465,0.462,0.617,0.262,0.032,0.352,0.779
1984,22,1.814,2.505,1.727,2.075,-0.511,-0.212,0.249,-0.099,-0.421,-0.215,0.563
1984,23,1.707,1.889,2.093,1.684,0.527,0.053,0.454,-0.167,-0.421,-0.777,0.578
1984,24,-0.872,-0.497,0.359,0.08,-0.741,-0.34,0.094,-0.971,-1.028,-0.898,-0.506
1984,25,-1.955,-1.181,-0.844,-0.926,0.008,-0.473,-0.268,-0.48,-0.342,-0.581,-0.646
1984,26,-1.26,-0.728,-0.583,-0.695,-0.518,-0.585,-0.225,-0.504,0.232,0.163,-0.415
1984,27,-1.081,0.247,-0.419,-0.387,0.146,-0.422,0.106,0.107,0.4,0.34,-0.046
1984,28,-2.563,-1.224,-1.07,-0.738,-0.444,-0.769,-1.004,0.168,-0.428,0.22,-0.698
1984,29,-1.796,-0.993,-0.625,-1.38,-0.113,-1.199,-1.234,0.02,-0.721,0.093,-0.741
1984,30,-2.421,-1.226,-1.488,-1.164,-0.678,-0.913,-1.073,-0.378,-0.75,-0.277,-0.968
1984,31,-2.21,-1.434,-1.4,-1.391,-0.144,-0.45,-1.274,-0.266,-0.731,-0.427,-0.913
1984,32,-2.005,-1.09,-0.96,-1.17,-0.172,-0.482,-1.004,-0.08,-0.467,-0.25,-0.711
1984,33,-2.106,-1.672,-0.756,-1.487,-0.309,-0.439,-1.087,-0.438,-0.551,-0.739,-0.908
1984,34,-1.094,-0.93,-0.148,-1.158,0.029,-0.227,-0.869,-0.758,-0.737,-0.686,-0.659
1984,35,-1.333,-1.556,-1.076,-1.911,-0.502,-0.352,-0.653,-0.125,-0.305,-0.089,-0.728
1984,36,-2.18,-0.899,-2.256,-1.391,-1.982,-1.062,-0.684,-1.256,-0.721,-0.583,-1.244
1985,1,-1.486,-0.924,-1.463,-1.544,-1.775,-1.014,-0.761,-1.263,-0.825,-0.803,-1.163
1985,2,-1.289,-0.836,-1.064,-1.397,-1.225,-0.977,-0.402,-1.199,-0.814,-0.776,-0.979
1985,3,-2.011,-1.111,-1.749,-2.038,-0.978,-0.961,-0.908,-0.946,-0.615,-0.66,-1.143
1985,4,-1.698,-0.631,-1.105,-1.208,-0.596,-0.599,-0.464,-0.333,-0.614,-0.132,-0.69
1985,5,-1.697,-0.572,-1.542,-1.513,-0.613,-0.711,-0.666,-0.353,-0.934,-0.167,-0.835
1985,6,-0.92,-0.371,-0.902,-1.35,-0.299,-0.825,-0.825,-0.339,-0.803,0.119,-0.632
1985,7,-1.37,-1.003,-1.295,-1.418,-0.597,-0.821,-0.564,-0.617,-0.508,0.376,-0.718
1985,8,-1.218,-0.843,-0.837,-1.105,-0.381,-0.497,-0.154,-0.112,0.052,0.237,-0.416
1985,9,-0.974,-0.572,-0.594,-0.59,-0.475,-0.307,-0.461,-0.159,0.139,0.187,-0.335
1985,10,-0.833,-0.299,-0.306,-0.395,-0.912,-0.255,0.147,-0.725,-0.385,-0.076,-0.391
1985,11,-0.947,-0.503,-0.608,-0.08,-0.858,-0.068,0.415,-0.633,-0.059,-0.314,-0.335
1985,12,-0.038,0.533,-0.221,-0.256,-0.143,-0.007,-0.351,-0.545,-0.527,-0.553,-0.251
1985,13,-0.329,-0.369,-0.182,-0.411,0.027,0.4,-0.03,-0.334,-0.523,-0.249,-0.207
1985,14,-0.018,-0.45,-0.069,-0.477,0.052,-0.164,-0.627,0.358,-0.517,0.263,-0.163
1985,15,-0.132,-0.178,-0.317,-0.317,-0.069,-0.259,-0.003,-0.06,-0.589,-0.113,-0.204
1985,16,-0.89,-0.804,-0.852,-0.443,-0.551,-0.41,-0.449,-0.616,-0.967,-0.603,-0.653
1985,17,-1.126,-1.099,-1.215,-1.011,-0.594,-0.538,-0.241,-0.454,-0.971,-1.009,-0.803
1985,18,-0.732,-1.477,-1.123,-1.216,-0.14,-0.514,-0.417,-0.266,-0.549,-1.164,-0.733
1985,19,0.183,-2.482,-0.282,-1.736,0.187,-0.698,-1.034,-0.997,-1.434,-1.383,-0.992
1985,20,-0.435,-3.045,-0.475,-1.36,-0.209,-0.59,-0.718,-0.921,-0.694,-0.63,-0.874
1985,21,0.499,-2.225,1.045,-0.016,-0.489,-0.131,-0.39,-0.907,-0.595,-0.599,-0.408
1985,22,1.097,-0.775,1.527,0.571,-0.616,-0.621,-0.207,-0.597,-0.929,-0.163,-0.134
1985,23,0.773,-0.092,0.95,0.668,-1.431,-0.699,-0.342,-0.944,-0.948,-0.555,-0.337
1985,24,1.758,0.082,1.86,0.356,-0.641,-0.768,-0.873,-1.183,-1.313,-1.44,-0.362
1985,25,0.792,-0.792,1.244,0.097,0.596,-0.32,-0.361,-0.639,-0.892,-1.317,-0.233
1985,26,0.727,-0.991,1.246,-0.233,1.269,0.07,-0.623,0.465,-0.351,-0.679,0.053
1985,27,-0.255,-0.778,-0.016,-0.444,0.102,0.331,-0.275,0.047,0.181,-0.337,-0.133
1985,28,-1.057,-0.557,-0.379,-0.375,-0.697,0.015,-0.199,-0.726,0.023,-1.077,-0.497
1985,29,-1.926,0.085,-0.693,-0.46,-0.453,0.021,0.075,0.292,0.214,-0.438,-0.276
1985,30,-1.991,-0.071,-0.591,-0.697,-0.436,-0.186,-0.424,0.097,0.275,-0.275,-0.377
1985,31,-1.027,-0.019,0.031,-0.427,-0.611,-0.185,-0.431,-0.236,-0.07,-0.44,-0.337
1985,32,-1.452,0.363,-1.192,-0.398,-1.169,-0.918,-0.701,-0.36,-0.18,-0.562,-0.634
1985,33,-1.497,-0.241,-1.26,-0.874,-1.35,-0.943,-0.517,-0.415,-0.221,-0.689,-0.765
1985,34,-2.991,-1.417,-3.059,-1.136,-1.552,-1.394,-0.504,-0.427,-0.463,-0.313,-1.2
1985,35,-2.809,-1.18,-2.123,-1.214,-1.218,-1.107,-0.841,-0.811,-0.8,-0.876,-1.225
1985,36,-2.196,-1.15,-1.952,-0.899,-1.38,-0.683,-0.783,-1.029,-0.924,-1.412,-1.206
1986,1,-1.926,-0.639,-1.968,-0.779,-2.572,-1.207,-0.443,-1.41,-0.956,-1.391,-1.307
1986,2,-1.257,-0.12,-1.555,-0.386,-1.873,-0.844,-0.431,-1.347,-1.119,-1.627,-1.074
1986,3,-1.157,-0.063,-1.445,-0.467,-1.634,-0.738,-0.247,-1.094,-0.957,-1.577,-0.951
1986,4,-1.374,-0.435,-1.772,-0.702,-1.44,-0.667,-0.522,-0.798,-0.98,-1.042,-0.962
1986,5,-1.217,-0.382,-1.784,-0.66,-1.027,-0.572,-0.246,-0.964,-1.242,-1.491,-0.965
1986,6,-1.561,-0.841,-2.14,-1.021,-1.353,-0.998,-0.368,-1.326,-1.579,-1.757,-1.294
1986,7,-1.161,-1.022,-1.838,-1.114,-1.498,-0.934,-0.795,-1.625,-1.348,-1.728,-1.32
1986,8,-0.8,-0.939,-1.706,-1.47,-1.569,-0.819,-1.035,-1.434,-1.038,-1.347,-1.23
1986,9,-1.054,-0.972,-1.877,-1.57,-1.229,-1.147,-0.883,-0.927,-1.266,-1.035,-1.185
1986,10,-1.017,-0.483,-1.732,-1.578,-1.379,-1.188,-0.858,-1.152,-1.206,-1.109,-1.177
1986,11,-1.113,-0.914,-1.822,-1.396,-1.702,-1.126,-0.838,-1.538,-0.915,-0.663,-1.188
1986,12,-0.619,-1.013,-1.057,-0.932,-1.067,-0.678,-0.594,-1.05,-0.013,-0.165,-0.686
1986,13,-0.725,-0.18,-0.795,-0.057,-0.61,-0.857,-0.67,-0.321,0.338,0.183,-0.333
1986,14,-1.024,-0.609,-1.22,-0.018,-0.921,-0.893,-0.409,-0.531,-0.212,-0.396,-0.588
1986,15,-1.178,-1.434,-1.532,-0.654,-1.186,-0.977,-0.68,-0.701,-0.876,-0.784,-0.967
1986,16,-0.512,-1.351,-1.232,-0.711,-0.11,-0.393,-0.336,-0.713,-1.007,-1.03,-0.732
1986,17,-1.12,-0.768,-1.418,-0.081,-0.632,-0.228,-0.231,-0.651,-1.226,-0.778,-0.703
1986,18,-2.556,-1.985,-2.231,-0.813,-0.372,-0.173,-0.461,-0.344,-0.355,-0.611,-0.89
1986,19,-3.44,-2.81,-2.701,-1.316,-0.568,-0.805,-0.724,-0.398,-0.328,-0.799,-1.246
1986,20,-2.982,-2.161,-2.382,-1.205,-1.033,-0.42,-0.54,-0.333,0.023,-0.931,-1.079
1986,21,-3.077,-2.676,-2.089,-1.7,-0.24,-0.051,-0.937,-0.338,0.282,-0.575,-1.01
1986,22,-2.422,-1.523,-1.269,-1.275,0.322,-0.721,-0.663,-0.024,-0.051,-0.298,-0.695
1986,23,-1.462,-0.817,-0.907,-0.318,0.439,-0.355,-0.842,0.086,-0.089,-0.079,-0.381
1986,24,-1.605,-0.263,-0.939,-0.032,-0.798,-0.393,-0.974,-0.834,-0.694,-0.393,-0.682
1986,25,-1.571,-0.916,-1.166,0.317,-1.242,0.142,-0.235,-0.512,0.308,-0.258,-0.458
1986,26,-0.659,-0.457,-0.894,0.25,-0.876,-0.267,-0.331,-0.589,0.442,-0.378,-0.35
1986,27,-1.298,-0.381,-1.013,0.147,-1.126,0.035,-0.055,-1.388,0.551,-0.896,-0.519
1986,28,-1.134,-0.027,-1.39,-0.157,-1.07,-0.586,-0.654,-0.978,-0.208,-0.684,-0.677
1986,29,-1.095,-0.664,-1.35,-1.319,-0.684,-0.69,-1.518,-0.719,-0.74,-0.388,-0.905
1986,30,-1.72,-1.069,-2.086,-1.456,-0.839,-0.994,-1.339,-0.686,-0.825,-0.269,-1.076
1986,31,-1.787,-1.152,-1.872,-1.476,-0.234,-0.734,-0.833,-0.583,-0.636,-0.292,-0.897
1986,32,-1.104,-0.721,-1.519,-1.483,-0.152,-0.656,-0.934,-0.297,-0.658,-0.138,-0.728
1986,33,-1.971,-1.583,-1.705,-1.727,-0.445,-0.89,-1.083,-0.587,-0.511,-0.465,-1.027
1986,34,-1.912,-2.158,-1.588,-1.94,-0.857,-0.442,-0.537,-0.748,-0.504,-0.371,-1.027
1986,35,-1.409,-1.516,-1.047,-1.346,-0.194,-0.145,-0.209,-0.581,-0.406,-0.59,-0.695
1986,36,-1.111,-1.32,-0.773,-1.058,-0.83,-0.24,-0.226,-0.96,-0.24,-0.868,-0.736
1987,1,-1.064,-1.521,-0.801,-1.568,-0.167,-0.373,-0.629,-0.495,-0.023,-0.294,-0.643
1987,2,-0.943,-1.525,-0.912,-1.012,-0.833,-0.581,-0.019,-0.928,-0.498,-0.632,-0.753
1987,3,-0.671,-1.302,-0.576,-0.589,-0.889,-0.698,0.073,-0.726,-0.617,-0.91,-0.672
1987,4,-0.181,-0.801,-0.422,-0.298,-0.335,-0.436,-0.16,-0.837,-0.239,-0.934,-0.467
1987,5,-0.924,-0.403,-0.551,-0.319,0.161,-0.504,-0.056,-0.007,-0.297,-0.168,-0.272
1987,6,-1.203,-0.91,-0.825,-0.701,-0.362,-0.83,-0.119,-0.556,-0.401,-0.684,-0.619
1987,7,-0.723,-0.524,-0.953,-0.483,-0.413,-0.894,-0.228,-0.754,-0.564,-1.027,-0.651
1987,8,-1.671,-0.794,-1.281,-0.843,-0.874,-1.12,-0.195,-0.528,-0.348,-0.113,-0.711
1987,9,-0.687,-0.19,-0.996,-0.299,-1.391,-0.861,0.117,-1.008,-0.185,-0.406,-0.577
1987,10,-1.493,0.129,-1.274,-0.046,-1.571,-0.819,0.118,-0.991,0.362,0.297,-0.478
1987,11,-0.707,0.488,-0.822,-0.001,-0.619,-0.545,-0.031,-0.426,0.112,0.333,-0.202
1987,12,-1.075,-0.054,-0.871,-0.228,-1.118,-0.348,-0.134,-0.545,0.167,0.362,-0.344
1987,13,-1.53,-0.152,-1.185,-0.256,-0.671,-0.484,-0.337,-1.022,-0.096,0.333,-0.494
1987,14,-1.822,-0.241,-1.009,0.394,-1.457,-0.408,0.251,-0.97,-0.339,0.634,-0.44
1987,15,-2.439,-0.517,-1.046,0.004,-1.443,-0.216,-0.425,-0.204,0.372,0.746,-0.426
1987,16,-2.234,0.207,-1.121,0.399,-0.505,0.403,-0.063,0.115,0.888,0.372,-0.072
1987,17,-1.865,-0.099,-0.677,-0.02,-0.597,-0.039,-0.195,-0.444,0.466,-0.02,-0.296
1987,18,-0.319,-0.611,-0.222,-1.286,-1.111,-0.76,-1.324,-1.021,-1.063,-0.328,-0.835
1987,19,-0.147,-1.434,0.449,-1.286,-0.587,-0.866,-1.394,-0.589,-1.119,0.06,-0.707
1987,20,-1.031,-1.568,-1.149,-1.009,-1.557,-0.751,-0.371,-0.889,-0.616,-0.407,-0.896
1987,21,-1.505,-1.617,-1.949,-0.79,-2.077,-0.708,-0.182,-1.011,-0.165,-0.608,-0.995
1987,22,-2.042,-1.234,-1.95,-1.116,-1.19,-0.914,-0.964,-0.656,-0.548,-0.191,-1.01
1987,23,-2.214,-1.244,-1.822,-0.757,-0.76,-0.478,-0.49,-0.179,-0.234,0.037,-0.723
1987,24,-2.064,-1.4,-1.453,-1.196,-0.463,-0.094,-0.707,-0.08,0.218,0.181,-0.613
1987,25,-3.357,-0.789,-2.385,-0.942,-1.032,-0.264,-0.196,-0.684,0.382,-0.825,-0.9
1987,26,-1.667,0.352,-1.362,-0.35,-1.173,-0.705,-0.972,-0.738,-0.273,-0.41,-0.71
1987,27,-2.736,-0.897,-1.761,-0.75,-0.98,-0.903,-0.706,-0.811,-0.719,-0.105,-0.96
1987,28,-2.2,-0.449,-1.011,-0.536,-0.715,-0.714,-0.347,-0.376,-0.687,0.19,-0.625
1987,29,-1.633,-0.169,-0.731,-0.043,-0.332,-0.816,-0.444,0.2,-0.774,0.835,-0.336
1987,30,-1.66,-0.422,-0.56,-0.215,-0.607,-0.571,-0.609,0.376,-0.323,0.55,-0.346
1987,31,-1.621,-0.692,-0.563,-0.601,-0.465,-0.313,-0.115,0.617,0.152,0.755,-0.2
1987,32,-1.616,-0.004,-0.576,0.063,0.086,-0.23,-0.057,0.334,0.1,0.702,-0.053
1987,33,-1.195,-0.606,-0.276,0.584,0.394,-0.144,0.088,0.739,0.452,1.045,0.191
1987,34,-3.152,-1.623,-2.061,-0.267,-0.98,-0.732,0.103,0.019,0.244,0.354,-0.658
1987,35,-1.748,-0.643,-1.032,0.269,-0.919,-0.659,0.307,-0.642,-0.173,0.045,-0.455
1987,36,-0.754,-0.122,-0.172,0.509,0.234,-0.382,0.162,0.105,0.263,0.486,0.077
1988,1,-1.465,0.184,-0.342,0.847,0.573,0.423,0.771,0.277,0.619,0.693,0.329
1988,2,-1.166,-0.051,-0.171,1.137,0.397,0.401,0.764,0.282,0.645,0.642,0.353
1988,3,-0.921,-0.224,-0.413,1.216,0.144,0.058,0.204,0.481,0.698,0.796,0.272
1988,4,-1.314,-0.212,-0.654,1.038,-0.027,0.009,0.51,0.383,0.848,1.316,0.288
1988,5,-0.855,0.358,-0.684,0.795,-0.108,0.089,0.342,0.585,0.748,1.048,0.298
1988,6,-0.852,0.403,-1.094,0.436,-1.004,-0.135,0.123,-0.394,0.818,0.597,-0.065
1988,7,-1.29,-0.349,-0.806,-0.155,-1.2,-0.439,-0.251,-0.359,0.471,0.567,-0.319
1988,8,-0.506,-0.392,-0.237,-0.013,-0.393,-0.154,0.211,0.423,0.75,1.173,0.161
1988,9,-0.641,-0.747,-0.299,-0.366,-0.638,0.111,0.283,0.069,0.656,1.181,0.041
1988,10,-0.14,-0.369,-0.302,0.246,-0.515,0.145,0.152,-0.333,0.165,0.107,-0.067
1988,11,-0.189,0.087,-0.479,0.707,-0.585,-0.495,-0.559,-0.729,-0.427,-0.462,-0.34
1988,12,-0.04,0.249,-0.278,0.845,-0.739,-0.025,0.45,-0.585,-0.627,0.211,-0.069
1988,13,-0.326,0.244,-0.283,0.794,-0.654,-0.081,-0.15,-0.475,-0.569,0.486,-0.108
1988,14,-0.455,-0.057,-0.49,0.826,-0.639,-0.356,-0.779,-0.793,-1.049,0.454,-0.35
1988,15,-0.784,-0.121,-0.646,1.007,-0.36,-0.029,-0.222,-0.337,-0.825,0.625,-0.156
1988,16,0.068,0.626,-0.861,1.02,-0.471,0.079,-0.223,-0.172,-0.821,-0.049,-0.109
1988,17,-1.372,-0.363,-1.118,0.51,-0.49,-0.468,-0.678,-0.122,-0.511,0.085,-0.416
1988,18,-0.063,0.714,-0.832,0.687,-0.689,-0.564,-1.073,-0.155,-0.936,0.173,-0.304
1988,19,0.445,0.675,-0.489,0.501,0.475,-0.091,-1.573,0.59,-0.617,0.775,0.041
1988,20,-0.005,-1.126,-0.596,-0.084,1.26,-0.065,-1.146,0.629,0.175,0.527,-0.004
1988,21,-0.77,-1.389,-1.722,-1.11,-0.772,-0.904,-0.892,-0.172,-0.02,0.492,-0.653
1988,22,-0.255,-1.59,-1.215,-1.35,-0.869,-1.094,-1.133,0.282,-0.481,0.242,-0.699
1988,23,0.669,-0.995,-0.189,-1.118,-0.236,-1.103,-0.709,-0.332,-1.34,-0.309,-0.594
1988,24,0.382,0.301,0.057,0.171,-0.443,-0.329,-1.137,-0.297,-0.754,0.583,-0.185
1988,25,-0.515,-0.343,-0.304,0.109,-0.622,-0.611,-1.237,-0.221,-0.788,0.517,-0.402
